LOCATION,LAT,LONG,POPULATION
ARGENTINA/SANTA FE/CONSTITUCION/PAVON ARRIBA,-33.3124572356477,-60.8241220990137,
ARGENTINA/SANTA FE/CONSTITUCION/PEYRANO,-33.538617380942604,-60.8014154807697,
ARGENTINA/SANTA FE/CONSTITUCION/RUEDA,-33.3341009952617,-60.4591317265629,
ARGENTINA/SANTA FE/CONSTITUCION/SANTA TERESA,-33.437764411501796,-60.790039959503495,
ARGENTINA/SANTA FE/CONSTITUCION/SARGENTO CABRAL,-33.4298797689977,-60.6268865797634,
ARGENTINA/SANTA FE/CONSTITUCION/THEOBALD,-33.3101497238863,-60.3116530324698,
ARGENTINA/SANTA FE/CONSTITUCION/VILLA CONSTITUCION,-33.231024099143895,-60.331720171841795,
ARGENTINA/SANTA FE/GARAY/CAYASTA,-31.200690843699498,-60.159465436027794,
ARGENTINA/SANTA FE/GARAY/COLONIA MASCIAS,-30.798576612009303,-60.0063560689159,
ARGENTINA/SANTA FE/GARAY/HELVECIA,-31.098852487063102,-60.089245432019304,
ARGENTINA/SANTA FE/GARAY/SALADERO CABAL,-30.8813002071198,-60.036191004306495,
ARGENTINA/SANTA FE/GARAY/SANTA ROSA DE CALCHINES,-31.4184076177775,-60.334917320398795,
ARGENTINA/SANTA FE/GENERAL LOPEZ/AARON CASTELLANOS,-34.3325875229992,-62.3741872908957,
ARGENTINA/SANTA FE/GENERAL LOPEZ/AMENABAR,-34.1323699411158,-62.4241479071978,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CAFFERATA,-33.4401472906374,-62.082301403794204,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CANADA DEL UCLE,-33.4080229100277,-61.60623256845471,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CARMEN,-33.7329778015383,-61.7609209773459,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CARRERAS,-33.5988287262981,-61.3096263844637,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CHAPUY,-33.8004500227442,-61.7454559757811,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CHOVET,-33.5991539184278,-61.6058509262848,
ARGENTINA/SANTA FE/GENERAL LOPEZ/CHRISTOPHERSEN,-34.181877755191195,-62.0248437858926,
ARGENTINA/SANTA FE/GENERAL LOPEZ/DIEGO DE ALVEAR,-34.3726214104544,-62.128024503256704,
ARGENTINA/SANTA FE/GENERAL LOPEZ/ELORTONDO,-33.6978839970603,-61.61706676938189,
ARGENTINA/SANTA FE/GENERAL LOPEZ/FIRMAT,-33.4579393951791,-61.4887359877353,
ARGENTINA/SANTA FE/GENERAL LOPEZ/HUGHES,-33.798651389491404,-61.33672280452579,
ARGENTINA/SANTA FE/GENERAL LOPEZ/LABORDEBOY,-33.720628386496394,-61.318303822229794,
ARGENTINA/SANTA FE/GENERAL LOPEZ/LA CHISPA,-33.5436373930413,-61.972858234988095,
ARGENTINA/SANTA FE/GENERAL LOPEZ/LAZZARINO,-34.164198597239796,-62.4323246587708,
ARGENTINA/SANTA FE/GENERAL LOPEZ/MAGGIOLO,-33.7221972020079,-62.246440165804394,
ARGENTINA/SANTA FE/GENERAL LOPEZ/MARIA TERESA,-34.0110713870926,-61.912662650004606,
ARGENTINA/SANTA FE/GENERAL LOPEZ/MELINCUE,-33.6611282844065,-61.457007333462,
ARGENTINA/SANTA FE/GENERAL LOPEZ/MIGUEL TORRES,-33.5278161854665,-61.465677850212096,
ARGENTINA/SANTA FE/GENERAL LOPEZ/MURPHY,-33.642595875840804,-61.85648216826671,
ARGENTINA/SANTA FE/GENERAL LOPEZ/RUFINO,-34.262775588102606,-62.71208288162379,
ARGENTINA/SANTA FE/GENERAL LOPEZ/SANCTI SPIRITU,-34.010222139727304,-62.2385016296349,
ARGENTINA/SANTA FE/GENERAL LOPEZ/SAN EDUARDO,-33.870640610986904,-62.0924646509896,
ARGENTINA/SANTA FE/GENERAL LOPEZ/SAN FRANCISCO DE SANTA FE,-33.5885377359985,-62.12373689125071,
ARGENTINA/SANTA FE/GENERAL LOPEZ/SAN GREGORIO,-34.3242517275426,-62.0366787027299,
ARGENTINA/SANTA FE/GENERAL LOPEZ/SANTA ISABEL,-33.8886773849839,-61.6936364878205,
ARGENTINA/SANTA FE/GENERAL LOPEZ/TEODELINA,-34.1878749711767,-61.5298538319981,
ARGENTINA/SANTA FE/GENERAL LOPEZ/VENADO TUERTO,-33.7408027037752,-61.9746443386777,
ARGENTINA/SANTA FE/GENERAL LOPEZ/VILLA CANAS,-34.0047368055672,-61.6034647704235,
ARGENTINA/SANTA FE/GENERAL LOPEZ/WHEELWRIGHT,-33.7901019016081,-61.2100169999168,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/ARROYO CEIBAL,-28.7240713568918,-59.479273691360206,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/AVELLANEDA,-29.115748802694803,-59.6590453700325,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/BERNA,-29.2733373424409,-59.8464719797792,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/EL ARAZA,-29.1328520843646,-59.94837882166921,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/EL RABON,-28.2274557134028,-59.26384736355761,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/EL SOMBRERITO,-28.655345372835104,-59.426720822383004,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/FLORENCIA,-28.0406074552008,-59.220480832964704,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/GUADALUPE NORTE,-28.9390423057725,-59.5624051066148,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/INGENIERO CHANOURDIE,-28.7597113760465,-59.5768820983093,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/LANTERI,-28.8406619340407,-59.6366976898542,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/LA SARITA,-28.9722591309133,-59.8496989695505,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/LAS GARZAS,-28.846125872817602,-59.4996821962372,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/LAS TOSCAS,-28.3549096137108,-59.259415411391295,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/LOS LAURELES,-29.369832932837202,-59.737702930457104,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/MALABRIGO,-29.3487704037293,-59.970036478526204,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/PUERTO RECONQUISTA,-29.235803413871604,-59.58124994600799,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/RECONQUISTA,-29.1526110956939,-59.6542096944454,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/SAN ANTONIO DE OBLIGADO,-28.3831146364812,-59.2643391701779,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/TACUARENDI,-28.4143668427277,-59.2611739322085,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/VILLA ANA,-28.4915738592731,-59.61346234984139,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/VILLA GUILLERMINA,-28.242948720739697,-59.4556104995348,
ARGENTINA/SANTA FE/GENERAL OBLIGADO/VILLA OCAMPO,-28.487789786115304,-59.3548476465275,
ARGENTINA/SANTA FE/IRIONDO/BUSTINZA,-32.7381621549353,-61.2908760783391,
ARGENTINA/SANTA FE/IRIONDO/CANADA DE GOMEZ,-32.8231914239265,-61.3906669818485,
ARGENTINA/SANTA FE/IRIONDO/CARRIZALES,-32.5087533242876,-61.0323501856554,
ARGENTINA/SANTA FE/IRIONDO/CLASON,-32.4623617192488,-61.2904179199344,
ARGENTINA/SANTA FE/IRIONDO/CORREA,-32.8491777640776,-61.25458928470329,
ARGENTINA/SANTA FE/IRIONDO/OLIVEROS,-32.573902003895995,-60.8547086065893,
ARGENTINA/SANTA FE/IRIONDO/PUEBLO ANDINO,-32.6682521093395,-60.8733437436777,
ARGENTINA/SANTA FE/IRIONDO/SALTO GRANDE,-32.6687322143434,-61.0879685243021,
ARGENTINA/SANTA FE/IRIONDO/SERODINO,-32.603670493894704,-60.947276479304705,
ARGENTINA/SANTA FE/IRIONDO/TOTORAS,-32.5871595179817,-61.1716079311332,
ARGENTINA/SANTA FE/IRIONDO/VILLA ELOISA,-32.9639110738265,-61.5511256939555,
ARGENTINA/SANTA FE/LA CAPITAL/ANGEL GALLARDO,-31.554819734236197,-60.6771795660159,
ARGENTINA/SANTA FE/LA CAPITAL/ARROYO AGUIAR,-31.430041535521898,-60.665985023123206,
ARGENTINA/SANTA FE/LA CAPITAL/ARROYO LEYES,-31.5602028065443,-60.5203524287077,
ARGENTINA/SANTA FE/LA CAPITAL/CABAL,-31.0997374488072,-60.7466004662056,
ARGENTINA/SANTA FE/LA CAPITAL/CAMPO ANDINO,-31.2396409527834,-60.531194624509496,
ARGENTINA/SANTA FE/LA CAPITAL/CANDIOTI,-31.4014133472943,-60.7490130552808,
ARGENTINA/SANTA FE/LA CAPITAL/EMILIA,-31.059036181209397,-60.7449395894227,
ARGENTINA/SANTA FE/LA CAPITAL/LAGUNA PAIVA,-31.307283515802897,-60.6599857413255,
ARGENTINA/SANTA FE/LA CAPITAL/LLAMBI CAMPBELL,-31.1841665771092,-60.7477160528695,
ARGENTINA/SANTA FE/LA CAPITAL/MONTE VERA,-31.515489072201902,-60.6782933397416,
ARGENTINA/SANTA FE/LA CAPITAL/NELSON,-31.2657809827559,-60.764538615258296,
ARGENTINA/SANTA FE/LA CAPITAL/RECREO,-31.490859813993897,-60.735492544645204,
ARGENTINA/SANTA FE/LA CAPITAL/RINCON POTRERO,-31.5442692529524,-60.51231422099,
ARGENTINA/SANTA FE/LA CAPITAL/SAN JOSE DEL RINCON,-31.606458652470497,-60.5674550008564,
ARGENTINA/SANTA FE/LA CAPITAL/SANTA FE,-31.6244477760916,-60.698839780023796,
ARGENTINA/SANTA FE/LA CAPITAL/SANTO TOME,-31.662970063443197,-60.761801141433494,
ARGENTINA/SANTA FE/LA CAPITAL/SAUCE VIEJO,-31.7710726492983,-60.837176426578296,
ARGENTINA/SANTA FE/LAS COLONIAS/CAVOUR,-31.364777677719804,-61.016508607952396,
ARGENTINA/SANTA FE/LAS COLONIAS/CULULU,-31.2061382980265,-60.9299646011872,
ARGENTINA/SANTA FE/LAS COLONIAS/ELISA,-30.6957800556275,-61.0482834711285,
ARGENTINA/SANTA FE/LAS COLONIAS/EMPALME SAN CARLOS,-31.547751777092,-60.813654381855706,
ARGENTINA/SANTA FE/LAS COLONIAS/ESPERANZA,-31.4488251888843,-60.9302895690962,
ARGENTINA/SANTA FE/LAS COLONIAS/FELICIA,-31.2444170595229,-61.21214702746101,
ARGENTINA/SANTA FE/LAS COLONIAS/FRANCK,-31.5871430019304,-60.9383417939925,
ARGENTINA/SANTA FE/LAS COLONIAS/GRUTLY,-31.2681311713827,-61.0716775749664,
ARGENTINA/SANTA FE/LAS COLONIAS/HIPATIA,-31.1259049020783,-61.032668699819794,
ARGENTINA/SANTA FE/LAS COLONIAS/HUMBOLDT,-31.4008435170788,-61.08235818952029,
ARGENTINA/SANTA FE/LAS COLONIAS/LA PELADA,-30.8660498915556,-60.9683416804176,
ARGENTINA/SANTA FE/LAS COLONIAS/LAS TUNAS,-31.572006257732397,-60.9965289976526,
ARGENTINA/SANTA FE/LAS COLONIAS/MARIA LUISA,-31.010642843850302,-60.9107365777581,
ARGENTINA/SANTA FE/LAS COLONIAS/MATILDE,-31.791522407349895,-60.9800750675156,
ARGENTINA/SANTA FE/LAS COLONIAS/NUEVO TORINO,-31.3450513015999,-61.235081835229906,
ARGENTINA/SANTA FE/LAS COLONIAS/PILAR,-31.440411827182302,-61.2596699608025,
ARGENTINA/SANTA FE/LAS COLONIAS/PROGRESO,-31.1378236798785,-60.98957201779571,
ARGENTINA/SANTA FE/LAS COLONIAS/PROVIDENCIA,-30.982867180215397,-61.02118265844621,
ARGENTINA/SANTA FE/LAS COLONIAS/PUJATO NORTE,-31.520175102063998,-60.9285423456272,
ARGENTINA/SANTA FE/LAS COLONIAS/RIVADAVIA,-31.3242408482297,-61.05075880548921,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN AGUSTIN,-31.682904188800997,-60.9406182112659,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS CENTRO,-31.7265822510746,-61.090770822883606,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS NORTE,-31.6725962793056,-61.074582557712205,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN CARLOS SUD,-31.7608084364709,-61.10071527904589,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN JERONIMO DEL SAUCE,-31.608927500403105,-61.1412472024407,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN JERONIMO NORTE,-31.5526815927138,-61.0779142678842,
ARGENTINA/SANTA FE/LAS COLONIAS/SAN MARIANO,-31.6683602051408,-61.34725542973371,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA CLARA DE BUENA VISTA,-31.7623041980337,-61.3156744888705,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA MARIA CENTRO,-31.5213363401516,-61.3128619120187,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTA MARIA NORTE,-31.5016783553303,-61.1366263465979,
ARGENTINA/SANTA FE/LAS COLONIAS/SANTO DOMINGO,-31.120427128386897,-60.8881105244454,
ARGENTINA/SANTA FE/LAS COLONIAS/SARMIENTO,-31.058582430672804,-61.167135747246704,
ARGENTINA/SANTA FE/LAS COLONIAS/SOUTOMAYOR,-30.9356681879423,-61.1651767420266,
ARGENTINA/SANTA FE/ROSARIO/ACEBAL,-33.2417207606926,-60.8365553438025,
ARGENTINA/SANTA FE/ROSARIO/ALBARELLOS,-33.2411590343082,-60.636223583046295,
ARGENTINA/SANTA FE/ROSARIO/ALVAREZ,-33.1296516845934,-60.80158226524261,
ARGENTINA/SANTA FE/ROSARIO/ALVEAR,-33.058097227129196,-60.618123072680795,
ARGENTINA/SANTA FE/ROSARIO/ARMINDA,-33.2638388028434,-60.966817503454706,
ARGENTINA/SANTA FE/ROSARIO/ARROYO SECO,-33.1562771451289,-60.5093889860201,
ARGENTINA/SANTA FE/ROSARIO/CARMEN DEL SAUCE,-33.235973270592105,-60.811709102228406,
ARGENTINA/SANTA FE/ROSARIO/CORONEL BOGADO,-33.3158262444222,-60.603002042544205,
ARGENTINA/SANTA FE/ROSARIO/CORONEL RODOLFO S. DOMINGUEZ,-33.1832461860827,-60.7193607181307,
ARGENTINA/SANTA FE/ROSARIO/FIGHIERA,-33.1937692522137,-60.46938454678579,
ARGENTINA/SANTA FE/ROSARIO/FUNES,-32.916020799639696,-60.811209996558105,
ARGENTINA/SANTA FE/ROSARIO/GENERAL LAGOS,-33.1098015171085,-60.56405174723721,
ARGENTINA/SANTA FE/ROSARIO/GRANADERO BAIGORRIA,-32.8613994541381,-60.701401687759294,
ARGENTINA/SANTA FE/ROSARIO/IBARLUCEA,-32.851869001809604,-60.7907099100656,
ARGENTINA/SANTA FE/ROSARIO/PEREZ,-32.9982788682695,-60.7687779628732,
ARGENTINA/SANTA FE/ROSARIO/PINERO,-33.1101363056718,-60.7954311489816,
